station_code,station_name,type,lat,lng,full_name
NS1,JURONGEAST,MRT,1.33321,103.74231,JURONG EAST
NS2,BUKITBATOK,MRT,1.34907,103.7496,BUKIT BATOK
NS3,BUKITGOMBAK,MRT,1.35904,103.75186,BUKIT GOMBAK
NS4,CHOACHUKANG,MRT,1.38542,103.74432,CHOA CHU KANG
NS5,YEWTEE,MRT,1.39738,103.74752,YEW TEE
NS7,KRANJI,MRT,1.4253,103.76205,KRANJI
NS8,MARSILING,MRT,1.43258,103.77415,MARSILING
NS9,WOODLANDS,MRT,1.43698,103.78641,WOODLANDS
NS10,ADMIRALTY,MRT,1.43698,103.78641,ADMIRALTY
NS11,SEMBAWANG,MRT,1.44913,103.82006,SEMBAWANG
NS12,CANBERRA,MRT,1.4433,103.8296,CANBERRA
NS13,YISHUN,MRT,1.42967,103.83504,YISHUN
NS14,KHATIB,MRT,1.41742,103.833,KHATIB
NS15,YIOCHUKANG,MRT,1.38177,103.84492,YIO CHU KANG
NS16,ANGMOKIO,MRT,1.37003,103.84959,ANG MO KIO
NS17,BISHAN,MRT,1.35092,103.84821,BISHAN
NS18,BRADDELL,MRT,1.34055,103.8471,BRADDELL
NS19,TOAPAYOH,MRT,1.33241,103.84744,TOA PAYOH
NS20,NOVENA,MRT,1.32009,103.84341,NOVENA
NS21,NEWTON,MRT,1.31383,103.83802,NEWTON
NS22,ORCHARD,MRT,1.30404,103.83179,ORCHARD
NS23,SOMERSET,MRT,1.30051,103.83843,SOMERSET
NS24,DHOBYGHAUT,MRT,1.29917,103.8458,DHOBY GHAUT
NS25,CITYHALL,MRT,1.29312,103.85209,CITY HALL
NS26,RAFFLESPLACE,MRT,1.284,103.85155,RAFFLES PLACE
NS27,MARINABAY,MRT,1.27648,103.8546,MARINA BAY
NS28,MARINASOUTHPIER,MRT,1.27142,103.86358,MARINA SOUTH PIER
EW33,TUASLINK,MRT,1.34037,103.63687,TUAS LINK
EW32,TUASWESTROAD,MRT,1.33008,103.63964,TUAS WEST ROAD
EW31,TUASCRESCENT,MRT,1.32109,103.64908,TUAS CRESCENT
EW30,GULCIRCLE,MRT,1.31981,103.66083,GUL CIRCLE
EW29,JOOKOON,MRT,1.32783,103.67832,JOO KOON
EW28,PIONEER,MRT,1.33765,103.69742,PIONEER
EW27,BOONLAY,MRT,1.33862,103.70582,BOON LAY
EW26,LAKESIDE,MRT,1.34426,103.7208,LAKESIDE
EW25,CHINESEGARDEN,MRT,1.34244,103.73258,CHINESE GARDEN
EW24,JURONGEAST,MRT,1.33321,103.74231,JURONG EAST
