TaxiCode,Latitude,Longitude,Bfa,Ownership,Type,Name
A01,1.304294727,103.8338467,Yes,LTA,Stand,Orchard Rd along driveway of Lucky Plaza
A05,1.304571786,103.835547,Yes,Private,Stand,Mt Elizabeth Rd at Mt Elizabeth Hospital
A06,1.303519805,103.8376729,Yes,LTA,Stop,Cairnhill Rd at Cairnhill Nine
A08,1.303709915,103.8327402,Yes,Private,Stand,Orchard Turn at Wisma Atria Shopping Centre
A12,1.302879021,103.8405818,Yes,Private,Stop,Cuppage Rd at Starhub Centre
A13,1.300918488,103.8422631,No,LTA,Stand,Kramat Lane outside Concorde Hotel & Shopping Mall
A14,1.302600342,103.8409503,Yes,Private,Stop,Cavenagh Rd at Holiday Inn Singapore Orchard City Centre
A16,1.300514561,103.8452133,Yes,Private,Stand,Handy Rd at Plaza Singapura
A17,1.299321982,103.8473265,Yes,CCS,Stand,Handy Rd near Cathay Building
A18,1.298096109,103.8448645,Yes,Private,Stand,Penang Rd at driveway of 9 Penang Rd
A19,1.296991268,103.8439415,Yes,CCS,Stand,Clemenceau Ave in front of Haw Par Glass Centre
A22,1.300360761,103.8395453,Yes,Private,Stand,Somerset Rd at Orchardgateway
A23,1.299953217,103.8371289,Yes,Private,Stand,Devonshire Rd outside TripleOne Somerset
B02,1.300574856,103.8496715,Yes,CCS,Stand,Selegie Rd in front of Parklane Shopping Mall
B03,1.302957817,103.85095,Yes,LTA,Stand,Short St near La Salle Arts College
B04,1.30152,103.8523716,Yes,LTA,Stop,Bencoolen St outside Summerview Hotel
B06,1.297702738,103.8490929,Yes,Private,Stop,Bencoolen St at SMU School of Econ & Social Sciences
B07,1.297537879,103.8493444,Yes,Private,Stop,Bencoolen St at SMU School of Information Systems
B08,1.296189886,103.8504108,Yes,Private,Stand,Queen St at SMU Li Ka Shing Library
B09,1.298087188,103.8521884,Yes,LTA,Stand,Queen St at China Cultural Centre
B10,1.299986059,103.8526465,Yes,CCS,Stand,Waterloo St at Stamford Arts Centre
B11,1.298453493,103.8554588,Yes,Private,Stand,North Bridge Rd along driveway of Bugis Junction Tower
B12,1.29894,103.8563957,Yes,LTA,Stand,Tan Quee Lan St outside Bugis DTL Station
B14,1.2962475,103.8554079,No,LTA,Stand,Purvis St outside Shop House No. 24
B17,1.299549334,103.850739,Yes,LTA,Stand,Bencoolen St at Masjid Bencoolen opp Bencoolen DTL Station (Ent A)
B18,1.299986346,103.8555097,Yes,Private,Stand,Victoria St along driveway of Bugis Junction
C01,1.291210939,103.8459884,Yes,Private,Stand,River Valley Rd at Clarke Quay
