Source,SourceName,target,TargetName
NS1,Jurong East,NS2,Bukit Batok
NS2,Bukit Batok,NS3,Bukit Gombak
NS3,Bukit Gombak,NS4,Choa Chu Kang
NS4,Choa Chu Kang,NS5,Yew Tee
NS5,Yew Tee,NS7,Kranji
NS7,Kranji,NS8,Marsiling
NS8,Marsiling,NS9,Woodlands
NS9,Woodlands,NS10,Admiralty
NS10,Admiralty,NS11,Sembawang
NS11,Sembawang,NS12,Canberra
NS12,Canberra,NS13,Yishun
NS13,Yishun,NS14,Khatib
NS14,Khatib,NS15,Yio Chu Kang
NS15,Yio Chu Kang,NS16,Ang Mo Kio
NS16,Ang Mo Kio,NS17,Bishan
NS17,Bishan,NS18,Braddell
NS18,Braddell,NS19,Toa Payoh
NS19,Toa Payoh,NS20,Novena
NS20,Novena,NS21,Newton
NS21,Newton,NS22,Orchard
NS22,Orchard,NS23,Somerset
NS23,Somerset,NS24,Dhoby Ghaut
NS24,Dhoby Ghaut,NS25,City Hall
NS25,City Hall,NS26,Raffles Place
NS26,Raffles Place,NS27,Marina Bay
NS27,Marina Bay,NS28,Marina South Pier
EW1,Pasir Ris,EW2,Tampines
EW2,Tampines,EW3,Simei
EW3,Simei,EW4,Tanah Merah
EW4,Tanah Merah,EW5,Bedok
EW5,Bedok,EW6,Kembangan
EW6,Kembangan,EW7,Eunos
EW7,Eunos,EW8,Paya Lebar
EW8,Paya Lebar,EW9,Aljunied
EW9,Aljunied,EW10,Kallang
EW10,Kallang,EW11,Lavender
EW11,Lavender,EW12,Bugis
EW12,Bugis,EW13,City Hall
EW14,Raffles Place,EW15,Tanjong Pagar
EW15,Tanjong Pagar,EW16,Outram Park
EW16,Outram Park,EW17,Tiong Bahru
EW17,Tiong Bahru,EW18,Redhill
EW18,Redhill,EW19,Queenstown
EW19,Queenstown,EW20,Commonwealth
EW20,Commonwealth,EW21,Buona Vista
EW21,Buona Vista,EW22,Dover
EW22,Dover,EW23,Clementi
EW23,Clementi,EW24,Jurong East
EW24,Jurong East,EW25,Chinese Garden
EW25,Chinese Garden,EW26,Lakeside
EW26,Lakeside,EW27,Boon Lay
EW27,Boon Lay,EW28,Pioneer
EW28,Pioneer,EW29,Joo Koon
EW29,Joo Koon,EW30,Gul Circle
EW30,Gul Circle,EW31,Tuas Crescent
EW31,Tuas Crescent,EW32,Tuas West Road
EW32,Tuas West Road,EW33,Tuas Link
EW4,Tanah Merah,CG1,Expo
CG1,Expo,CG2,Changi Airport
NE1,HarbourFront,NE3,Outram Park
NE3,Outram Park,NE4,Chinatown
NE4,Chinatown,NE5,Clarke Quay
NE5,Clarke Quay,NE6,Dhoby Ghaut
NE6,Dhoby Ghaut,NE7,Little India
NE7,Little India,NE8,Farrer Park
NE8,Farrer Park,NE9,Boon Keng
NE9,Boon Keng,NE10,Potong Pasir
NE10,Potong Pasir,NE11,Woodleigh
NE11,Woodleigh,NE12,Serangoon
NE12,Serangoon,NE13,Kovan
NE13,Kovan,NE14,Hougang
NE14,Hougang,NE15,Buangkok
NE15,Buangkok,NE16,Sengkang
NE16,Sengkang,NE17,Punggol
CC1,Dhoby Ghaut,CC2,Bras Basah
CC2,Bras Basah,CC3,Esplanade
CC3,Esplanade,CC4,Promenade
CC4,Promenade,CC5,Nicoll Highway
CC5,Nicoll Highway,CC6,Stadium
CC6,Stadium,CC7,Mountbatten
CC7,Mountbatten,CC8,Dakota
CC8,Dakota,CC9,Paya Lebar
CC9,Paya Lebar,CC10,MacPherson
CC10,MacPherson,CC11,Tai Seng
CC11,Tai Seng,CC12,Bartley
CC12,Bartley,CC13,Serangoon
CC13,Serangoon,CC14,Lorong Chuan
CC14,Lorong Chuan,CC15,Bishan
CC15,Bishan,CC16,Marymount
CC16,Marymount,CC17,Caldecott
CC17,Caldecott,CC19,Botanic Gardens
CC19,Botanic Gardens,CC20,Farrer Road
CC20,Farrer Road,CC21,Holland Village
CC21,Holland Village,CC22,Buona Vista
CC22,Buona Vista,CC23,one-north
CC23,one-north,CC24,Kent Ridge
CC24,Kent Ridge,CC25,Haw Par Villa
CC25,Haw Par Villa,CC26,Pasir Panjang
CC26,Pasir Panjang,CC27,Labrador Park
CC27,Labrador Park,CC28,Telok Blangah
CC28,Telok Blangah,CC29,HarbourFront
CE1,Bayfront,CC4,Promenade
CE2,Marina Bay,CE1,Bayfront
DT1,Bukit Panjang,DT2,Cashew
DT2,Cashew,DT3,Hillview
DT3,Hillview,DT5,Beauty World
DT5,Beauty World,DT6,King Albert Park
DT6,King Albert Park,DT7,Sixth Avenue
DT7,Sixth Avenue,DT8,Tan Kah Kee
DT8,Tan Kah Kee,DT9,Botanic Gardens
DT9,Botanic Gardens,DT10,Stevens
DT10,Stevens,DT11,Newton
DT11,Newton,DT12,Little India
DT12,Little India,DT13,Rochor
DT13,Rochor,DT14,Bugis
DT14,Bugis,DT15,Promenade
DT15,Promenade,DT16,Bayfront
DT16,Bayfront,DT17,Downtown
DT17,Downtown,DT18,Telok Ayer
DT18,Telok Ayer,DT19,Chinatown
DT19,Chinatown,DT20,Fort Canning
DT20,Fort Canning,DT21,Bencoolen
DT21,Bencoolen,DT22,Jalan Besar
DT22,Jalan Besar,DT23,Bendemeer
DT23,Bendemeer,DT24,Geylang Bahru
DT24,Geylang Bahru,DT25,Mattar
DT25,Mattar,DT26,MacPherson
DT26,MacPherson,DT27,Ubi
DT27,Ubi,DT28,Kaki Bukit
DT28,Kaki Bukit,DT29,Bedok North
DT29,Bedok North,DT30,Bedok Reservoir
DT30,Bedok Reservoir,DT31,Tampines West
DT31,Tampines West,DT32,Tampines
DT32,Tampines,DT33,Tampines East
DT33,Tampines East,DT34,Upper Changi
DT34,Upper Changi,DT35,Expo
TE1,Woodlands North ,TE2,Woodlands 
TE2,Woodlands ,TE3,Woodlands South 
TE3,Woodlands South ,TE4,Springleaf
TE4,Springleaf,TE5,Lentor
TE5,Lentor,TE6,Mayflower
TE6,Mayflower,TE7,Bright Hill
